GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Male:,Margin of Error; Male:,Estimate; Male: - Under 18 years:,Margin of Error; Male: - Under 18 years:,Estimate; Male: - Under 18 years: - With Medicaid/means-tested public coverage,Margin of Error; Male: - Under 18 years: - With Medicaid/means-tested public coverage,Estimate; Male: - Under 18 years: - No Medicaid/means-tested public coverage,Margin of Error; Male: - Under 18 years: - No Medicaid/means-tested public coverage,Estimate; Male: - 18 to 64 years:,Margin of Error; Male: - 18 to 64 years:,Estimate; Male: - 18 to 64 years: - With Medicaid/means-tested public coverage,Margin of Error; Male: - 18 to 64 years: - With Medicaid/means-tested public coverage,Estimate; Male: - 18 to 64 years: - No Medicaid/means-tested public coverage,Margin of Error; Male: - 18 to 64 years: - No Medicaid/means-tested public coverage,Estimate; Male: - 65 years and over:,Margin of Error; Male: - 65 years and over:,Estimate; Male: - 65 years and over: - With Medicaid/means-tested public coverage,Margin of Error; Male: - 65 years and over: - With Medicaid/means-tested public coverage,Estimate; Male: - 65 years and over: - No Medicaid/means-tested public coverage,Margin of Error; Male: - 65 years and over: - No Medicaid/means-tested public coverage,Estimate; Female:,Margin of Error; Female:,Estimate; Female: - Under 18 years:,Margin of Error; Female: - Under 18 years:,Estimate; Female: - Under 18 years: - With Medicaid/means-tested public coverage,Margin of Error; Female: - Under 18 years: - With Medicaid/means-tested public coverage,Estimate; Female: - Under 18 years: - No Medicaid/means-tested public coverage,Margin of Error; Female: - Under 18 years: - No Medicaid/means-tested public coverage,Estimate; Female: - 18 to 64 years:,Margin of Error; Female: - 18 to 64 years:,Estimate; Female: - 18 to 64 years: - With Medicaid/means-tested public coverage,Margin of Error; Female: - 18 to 64 years: - With Medicaid/means-tested public coverage,Estimate; Female: - 18 to 64 years: - No Medicaid/means-tested public coverage,Margin of Error; Female: - 18 to 64 years: - No Medicaid/means-tested public coverage,Estimate; Female: - 65 years and over:,Margin of Error; Female: - 65 years and over:,Estimate; Female: - 65 years and over: - With Medicaid/means-tested public coverage,Margin of Error; Female: - 65 years and over: - With Medicaid/means-tested public coverage,Estimate; Female: - 65 years and over: - No Medicaid/means-tested public coverage,Margin of Error; Female: - 65 years and over: - No Medicaid/means-tested public coverage
0500000US01001,01001,"Autauga County, Alabama",54425,239,26281,241,7035,163,2430,388,4605,371,16081,153,1101,236,14980,275,3165,61,390,128,2775,128,28144,259,7009,170,2128,438,4881,421,16971,189,1648,370,15323,378,4164,152,568,161,3596,196
0500000US01003,01003,"Baldwin County, Alabama",192770,369,93412,568,22133,481,8529,928,13604,837,55109,370,3976,556,51133,649,16170,176,1043,182,15127,262,99358,517,21424,483,7372,773,14052,780,59295,140,6433,772,52862,805,18639,173,1705,276,16934,301
0500000US01005,01005,"Barbour County, Alabama",24060,310,11741,285,2996,33,1811,181,1185,194,6994,252,1163,229,5831,311,1751,66,270,75,1481,102,12319,112,2742,33,1753,145,989,143,7206,71,1597,175,5609,197,2371,83,703,108,1668,115
0500000US01007,01007,"Bibb County, Alabama",20770,216,10354,267,2499,206,1357,321,1142,249,6422,223,826,210,5596,306,1433,79,181,76,1252,111,10416,249,2381,246,1068,222,1313,316,6328,74,1156,265,5172,271,1707,99,243,106,1464,135
0500000US01009,01009,"Blount County, Alabama",57210,211,28271,147,6921,102,3186,437,3735,448,17183,113,1760,324,15423,324,4167,61,550,181,3617,194,28939,201,6756,101,2729,373,4027,347,17138,111,2199,304,14939,321,5045,173,767,173,4278,221
0500000US01011,01011,"Bullock County, Alabama",10107,289,5154,289,1117,101,806,95,311,135,3424,274,436,181,2988,271,613,34,89,39,524,51,4953,165,1117,102,844,132,273,139,2979,118,755,177,2224,214,857,64,308,92,549,75
0500000US01013,01013,"Butler County, Alabama",20070,148,9352,94,2470,27,1343,168,1127,168,5462,89,661,138,4801,163,1420,48,265,74,1155,84,10718,97,2258,27,1178,167,1080,169,6406,42,1154,149,5252,143,2054,84,524,92,1530,102
0500000US01015,01015,"Calhoun County, Alabama",115195,254,55432,254,13396,153,6801,604,6595,603,34550,198,3385,421,31165,466,7486,86,906,128,6580,154,59763,189,12557,134,6721,449,5836,446,37043,128,5861,414,31182,434,10163,131,1845,246,8318,264
0500000US01017,01017,"Chambers County, Alabama",33733,78,16126,93,3731,38,1882,230,1849,238,9896,77,1367,246,8529,253,2499,48,304,87,2195,96,17607,91,3637,62,2024,285,1613,300,10556,43,1473,217,9083,227,3414,72,804,162,2610,175
